X1,X2,X3,X4,X5,Generation,Iter
3,Hybridindex,6.6325[1.67218],6.59481[1.69595],6.67034[1.64711],77,0
3,Pref0,0[0],0[0],0[0],77,0
3,Signal0,0[0],0[0],0[0],77,0
3,Hybridindex,6.681[1.63882],6.66416[1.60909],6.6978[1.6678],78,0
3,Pref0,0[0],0[0],0[0],78,0
3,Signal0,0[0],0[0],0[0],78,0
3,Hybridindex,6.67025[1.64792],6.69491[1.70461],6.64454[1.58623],79,0
3,Pref0,0[0],0[0],0[0],79,0
3,Signal0,0[0],0[0],0[0],79,0
3,Hybridindex,6.72475[1.67515],6.69316[1.66646],6.75596[1.6831],80,0
3,Pref0,0[0],0[0],0[0],80,0
3,Signal0,0[0],0[0],0[0],80,0
3,Hybridindex,6.778[1.69137],6.82219[1.69735],6.73495[1.6844],81,0
3,Pref0,0[0],0[0],0[0],81,0
3,Signal0,0[0],0[0],0[0],81,0
3,Hybridindex,6.807[1.68018],6.75711[1.65906],6.85531[1.69898],82,0
3,Pref0,0[0],0[0],0[0],82,0
3,Signal0,0[0],0[0],0[0],82,0
3,Hybridindex,6.86275[1.7094],6.82012[1.67725],6.90404[1.73897],83,0
3,Pref0,0[0],0[0],0[0],83,0
3,Signal0,0[0],0[0],0[0],83,0
3,Hybridindex,6.93925[1.69571],6.96189[1.72089],6.91788[1.67132],84,0
3,Pref0,0[0],0[0],0[0],84,0
3,Signal0,0[0],0[0],0[0],84,0
3,Hybridindex,6.95225[1.67998],6.96612[1.65642],6.93908[1.70195],85,0
3,Pref0,0[0],0[0],0[0],85,0
3,Signal0,0[0],0[0],0[0],85,0
3,Hybridindex,6.9875[1.69627],6.93286[1.65749],7.04031[1.7313],86,0
3,Pref0,0[0],0[0],0[0],86,0
3,Signal0,0[0],0[0],0[0],86,0
3,Hybridindex,6.9205[1.6815],6.9559[1.69149],6.88683[1.67124],87,0
3,Pref0,0[0],0[0],0[0],87,0
3,Signal0,0[0],0[0],0[0],87,0
3,Hybridindex,6.91375[1.66424],6.91271[1.65616],6.9149[1.67319],88,0
3,Pref0,0[0],0[0],0[0],88,0
3,Signal0,0[0],0[0],0[0],88,0
3,Hybridindex,6.8795[1.62857],6.90602[1.62686],6.85487[1.62976],89,0
3,Pref0,0[0],0[0],0[0],89,0
3,Signal0,0[0],0[0],0[0],89,0
3,Hybridindex,6.9005[1.6213],6.92126[1.63588],6.87986[1.6064],90,0
3,Pref0,0[0],0[0],0[0],90,0
3,Signal0,0[0],0[0],0[0],90,0
3,Hybridindex,6.8935[1.62701],6.91235[1.59908],6.8745[1.65447],91,0
3,Pref0,0[0],0[0],0[0],91,0
3,Signal0,0[0],0[0],0[0],91,0
3,Hybridindex,6.89025[1.59172],6.86974[1.59066],6.90976[1.59248],92,0
3,Pref0,0[0],0[0],0[0],92,0
3,Signal0,0[0],0[0],0[0],92,0
3,Hybridindex,6.8435[1.61183],6.82438[1.60175],6.8643[1.62247],93,0
3,Pref0,0[0],0[0],0[0],93,0
3,Signal0,0[0],0[0],0[0],93,0
